parameter	name (if diff)	unit	expected	low	high	distribution	references
EL_anoT_tau		days	1	0.5	1.5	triangular	CIDI
EL_anoT_COD_removal		fraction of COD removal	0.7	0.6	0.8	uniform	"Tchobanoglous et al,. 2014 (EAWAG: 80-85fraction of BOD removal)"
MCF_decay		fraction of anaerobic conversion of degraded COD	1			constant	"IPCC, 2006"
N_max_decay		fraction of N removal	0.8	0.7	0.9	triangular	"Orner and Mihelcic, 2017"
N2O_EF_decay		gN2O-N/g TN load	0.002958061	0.000891375	0.008612755	triangular	https://www.nature.com/articles/s41893-024-01420-9
tank_steel_weight	estimated total weight of primary clarifier tank	kg	135			constant	"BOM, assuming 8000 L tank weights 135 kg"
steel_density	density of steel	kg/m3	7850			constant	BOM
anoxic_tank_cost		USD	9388	8449.2	10326.8	uniform	https://www.gwkent.com/stainless-steel-slope-bottom-storage-tank-3900-liters-1030-gallons.html?utm_source=google_shopping&srsltid=AfmBOoqk0fYAXHC4ofjtaIxQssJd9_-YUTmn4i2fw6-mDJ8_kT3P0N1ANpc&gQT=1
weld_female_adapter_fittings		USD	6.87	6.183	7.557	uniform	https://thedrainagesource.com/4-pvc-sdr35-solvent-weld-female-adapter-s-x-fpt/?srsltid=AfmBOorc5xzjQmxhmGZ2dstlABtaDC0az8KOrbJaDaI1zrV2U6IJzc1r
pipeline_connectors		USD	13.16	11.844	14.476	uniform	https://www.eco-filtration.co.uk/product/110mm-4-pond-threaded-tank-connector/?srsltid=AfmBOoqFzwEcDdzmztkcvuSYA_anY1hoj5U5rOQz0Q8s1FUBhTeQpdX2
glucose_pump_flow		L/h	11.15	0.7	23	uniform	BOM
chemical_glucose_mixing_ratio		kg/L	0.035	0.02975	0.04025	uniform	BOM
chemical_glucose_price		USD/kg	0.75	0.7	0.8	uniform	https://www.alibaba.com/product-detail/Bulk-Food-Grade-glucose-Powder-99_1600987002678.html?spm=a2700.galleryofferlist.p_offer.d_title.48b513a084WF5B&s=p
anoxic_tank_lifetime		yr	8	7.2	8.8	uniform	assumption
weld_female_adapter_fittings_lifetime		yr	5	4.5	5.5	uniform	assumption
pipeline_connectors_lifetime		yr	5	4.5	5.5	uniform	assumption
power_demand_AnoxicTank	energy consumption for anoxic tank	KWh/day	1.1	0.99	1.21	uniform	assumption
EL_anoT_sludge_yield		kg-VSS/kg-BOD removed	0.035	0.03	0.04	uniform	Metcalf and Eddy page 1086 (Example 10-2)
EL_anoT_soluble_methane_fraction			0.3	0.24	0.36	uniform	"Kim et al. Anaerobic Fluidized Bed Membrane Bioreactor for Wastewater Treatment. Environ. Sci. Technol. 2011, 45, 2, 576â€“581"
EL_anoT_TN_removal	anoxic tank for total N original removal	ratio	0.2	0.02	0.37	uniform	"<br class=""Apple-interchange-newline"">UIUC Request Data - Gary Shyu"
EL_anoT_methane_yield	methane yield based on COD degraded at 25 degrees C	g CH4/m3 of treated wastewater	0.9	0.1	1.7	Triangular	https://doi.org/10.1021/acs.est.2c04388
decay_k_N		ratio	0.01	0.005	0.015	uniform	assumption
EL_anoT_TP_removal	anoxic tank for total P original removal	ratio	0.19	0.01	0.39	uniform	UIUC Request Data - Gary Shyu
anoxic_mixer_power		kW	0.18	0.153	0.207	uniform	data sheet by EnviroLoo
anoxic_mixer_cast_iron		kg	9	7.65	10.35	uniform	data sheet by EnviroLoo
anoxic_mixer_cost		USD	696.3	591.855	800.745	uniform	https://www.grainger.com/product/DAYTON-Open-Drum-Mixer-115-230V-AC-32V133?opr=PLADS&analytics=FM%3APLA&a2c_sku_original=32V138&position=2
glucose_mixer_power		kW	0.18	0.153	0.207	uniform	data sheet by EnviroLoo
glucose_mixer_cast_iron		kg	9	7.65	10.35	uniform	data sheet by EnviroLoo
glucose_mixer_cost		USD	696.3	591.855	800.745	uniform	https://www.grainger.com/product/DAYTON-Open-Drum-Mixer-115-230V-AC-32V133?opr=PLADS&analytics=FM%3APLA&a2c_sku_original=32V138&position=2
anoxic_mixer_lifetime		yr	10	8.5	11.5	uniform	assumption
glucose_mixer_lifetime		yr	10	8.5	11.5	uniform	assumption
dosing_pump_PVC		kg	2.5	2.125	2.875	uniform	data sheet
dosing_pump_cost		USD	59	50.15	67.85	uniform	https://www.aliexpress.us/item/3256804645639765.html?src=google&gatewayAdapt=glo2usa
pump_lifetime		yr	5	4.25	5.75	uniform	assumption