r,state,gea,raz,interconnect,t,total_gen_co2e,co2_captured_dac,co2_captured_ccs,total_net_co2e,generation,kg_CO2e_kWh
p1,WA,NWPPc,raz1,wscc,2022,1325965.1,0,0,1325965.1,24252202,0.054674009
p10,CA,CAMXc,raz2,wscc,2022,27034884.8,0,0,27034884.8,119356824,0.226504727
p100,VA,SRVCc,raz16,eastern,2022,4028973.3,0,0,4028973.3,8981387,0.448591437
p101,FL,FRCCc,raz14,eastern,2022,76348320,0,0,76348320,119016170,0.641495353
p102,FL,FRCCc,raz14,eastern,2022,32535520.2,0,0,32535520.2,101416890,0.320809682
p103,MI,RFCMc,raz11,eastern,2022,60151938.8,0,0,60151938.8,85512830,0.703425893
p104,MI,RFCMc,raz11,eastern,2022,6461388.6,0,0,6461388.6,25402672,0.25435862
p105,IN,RFCWc,raz11,eastern,2022,25320225.1,0,0,25320225.1,37268916,0.679392583
p106,IN,RFCWc,raz11,eastern,2022,247690.3,0,0,247690.3,530785,0.46664902
p107,IN,RFCWc,raz11,eastern,2022,70579653.6,0,0,70579653.6,68240456,1.034278751
p108,KY,SRTVc,raz12,eastern,2022,14103202.2,0,0,14103202.2,16627366,0.848192203
p109,KY,SRTVc,raz12,eastern,2022,56940490.8,0,0,56940490.8,53022720,1.073888529
p11,CA,CAMXc,raz2,wscc,2022,2232861.8,0,0,2232861.8,7639524,0.292277608
p110,KY,RFCWc,raz16,eastern,2022,168563.4,0,0,168563.4,541404.9,0.31134443
p111,OH,RFCWc,raz11,eastern,2022,11701674.1,0,0,11701674.1,42371692,0.27616726
p112,OH,RFCWc,raz11,eastern,2022,53149486.3,0,0,53149486.3,79097050,0.671952826
p113,OH,RFCWc,raz11,eastern,2022,6524,0,0,6524,81269.5,0.080276118
p114,OH,RFCWc,raz11,eastern,2022,18674895.5,0,0,18674895.5,18920842,0.987001292
p115,PA,RFCWc,raz16,eastern,2022,24395268.7,0,0,24395268.7,50041980,0.487496072
p116,WV,RFCWc,raz16,eastern,2022,14032078,0,0,14032078,15895870,0.882749922
p117,WV,RFCWc,raz16,eastern,2022,14787565.2,0,0,14787565.2,14218984,1.03998747
p118,VA,RFCWc,raz16,eastern,2022,3515853.3,0,0,3515853.3,4851835.5,0.724643962
p119,PA,RFCEc,raz16,eastern,2022,2975232,0,0,2975232,6989711,0.4256588
p12,NV,NWPPc,raz3,wscc,2022,3179415.7,0,0,3179415.7,10348319,0.307239823
p120,PA,RFCWc,raz16,eastern,2022,1433.7,0,0,1433.7,242577.2,0.005910283
p121,MD,RFCWc,raz16,eastern,2022,323666.6,0,0,323666.6,3880336.8,0.083411986
p122,PA,RFCEc,raz16,eastern,2022,75915834.8,0,0,75915834.8,191667230,0.396081452
p123,MD,RFCEc,raz16,eastern,2022,10878096.1,0,0,10878096.1,36739670,0.296085841
p124,VA,RFCEc,raz16,eastern,2022,14236.4,0,0,14236.4,269554.6,0.052814532
p125,DE,RFCEc,raz16,eastern,2022,2161438,0,0,2161438,4175748.8,0.517616864
p126,NJ,RFCEc,raz16,eastern,2022,15005308.6,0,0,15005308.6,74918640,0.200288054
p127,NY,NYSTc,raz17,eastern,2022,20345903.7,0,0,20345903.7,129085290,0.157615974
p128,NY,NYSTc,raz17,eastern,2022,2013593.2,0,0,2013593.2,5106688.5,0.394305077
p129,VT,NEWEc,raz18,eastern,2022,49749.3,0,0,49749.3,31053062,0.001602074
p13,NV,AZNMc,raz3,wscc,2022,9120662.5,0,0,9120662.5,28174444,0.323721118
p130,NH,NEWEc,raz18,eastern,2022,2357701.7,0,0,2357701.7,20765768,0.1135379
p131,MA,NEWEc,raz18,eastern,2022,6431526.2,0,0,6431526.2,22964020,0.2800697
p132,CT,NEWEc,raz18,eastern,2022,11175782.4,0,0,11175782.4,44187090,0.252919629
p133,RI,NEWEc,raz18,eastern,2022,1889886.9,0,0,1889886.9,4263916,0.443227986
p134,ME,NEWEc,raz18,eastern,2022,739978.3,0,0,739978.3,12154602,0.060880504
p14,ID,NWPPc,raz1,wscc,2022,282243.8,0,0,282243.8,2192956,0.128704725
p15,ID,NWPPc,raz3,wscc,2022,996038.4,0,0,996038.4,10215945,0.097498411
p16,ID,NWPPc,raz3,wscc,2022,1258,0,0,1258,3761216.5,0.000334466
p17,MT,NWPPc,raz3,wscc,2022,594,0,0,594,6649190,8.93342E-05
p18,MT,NWPPc,raz3,wscc,2022,0,0,0,0,7114481,0
p19,MT,NWPPc,raz3,wscc,2022,0,0,0,0,261.1,0
p2,WA,NWPPc,raz1,wscc,2022,5634418.1,0,0,5634418.1,39799024,0.141571766
p20,MT,NWPPc,raz3,wscc,2022,7272243.6,0,0,7272243.6,7653125,0.950231912
p21,WY,NWPPc,raz3,wscc,2022,17705890.7,0,0,17705890.7,16249549,1.089623515
p22,WY,RMPAc,raz4,wscc,2022,0,0,0,0,519.1,0
p23,WY,RMPAc,raz4,wscc,2022,3836512.1,0,0,3836512.1,3699854.8,1.036935855
p24,WY,RMPAc,raz4,wscc,2022,15158340,0,0,15158340,25838386,0.586659709
p25,UT,NWPPc,raz3,wscc,2022,34744070.4,0,0,34744070.4,41593204,0.835330464
p26,UT,NWPPc,raz3,wscc,2022,3505399.9,0,0,3505399.9,3839194.5,0.913056085
p27,AZ,AZNMc,raz5,wscc,2022,951801,0,0,951801,6033058,0.157764271
p28,AZ,AZNMc,raz5,wscc,2022,17182160,0,0,17182160,70294890,0.244429716
p29,AZ,AZNMc,raz5,wscc,2022,17957069.9,0,0,17957069.9,15459859,1.161528698
p3,WA,NWPPc,raz1,wscc,2022,19532.2,0,0,19532.2,11881178,0.001643962
p30,AZ,AZNMc,raz5,wscc,2022,32025.1,0,0,32025.1,1029710.2,0.031101081
p31,NM,AZNMc,raz5,wscc,2022,14410846.7,0,0,14410846.7,20723140,0.695398801
p32,SD,RMPAc,raz4,wscc,2022,2029.5,0,0,2029.5,456133.6,0.004449354
p33,CO,RMPAc,raz4,wscc,2022,18664488.3,0,0,18664488.3,26457876,0.705441673
p34,CO,RMPAc,raz4,wscc,2022,6641327.6,0,0,6641327.6,22893248,0.290099841
p35,MT,MROWc,raz7,eastern,2022,29672.9,0,0,29672.9,777178.9,0.03818027
p36,ND,MROWc,raz7,eastern,2022,12281565,0,0,12281565,21788638,0.563668321
p37,ND,MROWc,raz7,eastern,2022,23365.5,0,0,23365.5,11938079,0.001957224
p38,SD,MROWc,raz7,eastern,2022,2407686.9,0,0,2407686.9,16822170,0.143125821
p39,NE,RMPAc,raz8,eastern,2022,0,0,0,0,170448,0
p4,WA,NWPPc,raz1,wscc,2022,0,0,0,0,46924716,0
p40,NE,MROWc,raz8,eastern,2022,4517500.6,0,0,4517500.6,14718240,0.30693212
p41,NE,MROWc,raz8,eastern,2022,6698287.2,0,0,6698287.2,16725718,0.400478305
p42,MN,MROWc,raz7,eastern,2022,12773.5,0,0,12773.5,7606743,0.001679234
p43,MN,MROWc,raz7,eastern,2022,22407775.6,0,0,22407775.6,38837984,0.576955168
p44,MN,MROWc,raz7,eastern,2022,2357.5,0,0,2357.5,10363797,0.000227475
p45,IA,MROWc,raz9,eastern,2022,18453933.9,0,0,18453933.9,39454452,0.467727543
p46,WI,MROWc,raz7,eastern,2022,1423702.1,0,0,1423702.1,2195179.5,0.648558398
p47,NM,SPSOc,raz8,eastern,2022,1099512.1,0,0,1099512.1,10080116,0.109077326
p48,TX,SPSOc,raz8,eastern,2022,5601309.8,0,0,5601309.8,36483212,0.153531158
p49,OK,SPSOc,raz8,eastern,2022,0,0,0,0,3662365.5,0
p5,OR,NWPPc,raz1,wscc,2022,4276489.2,0,0,4276489.2,46651290,0.091669259
p50,OK,SPSOc,raz8,eastern,2022,13999010.7,0,0,13999010.7,57539264,0.243294921
p51,OK,SPSOc,raz8,eastern,2022,10730320.9,0,0,10730320.9,16538003,0.64882809
p52,KS,SPNOc,raz8,eastern,2022,2131677.3,0,0,2131677.3,4619282,0.461473731
p53,KS,SPNOc,raz8,eastern,2022,24571846.8,0,0,24571846.8,52215420,0.470586022
p54,MO,SPNOc,raz8,eastern,2022,14567657.8,0,0,14567657.8,20255554,0.719193254
p55,MO,SPNOc,raz8,eastern,2022,4458140.7,0,0,4458140.7,7083027,0.62941179
p56,AR,SPSOc,raz8,eastern,2022,3536680.6,0,0,3536680.6,4334946.5,0.815853344
p57,TX,SPSOc,raz8,eastern,2022,14309954.2,0,0,14309954.2,14162035,1.01044477
p58,LA,SRMVc,raz10,eastern,2022,30912257.6,0,0,30912257.6,66571944,0.464343622
p59,TX,AZNMc,raz5,wscc,2022,458969.1,0,0,458969.1,1322886.1,0.346945289
p6,OR,NWPPc,raz1,wscc,2022,1049790,0,0,1049790,4236528.5,0.247794863
p60,TX,ERCTc,raz6,ercot,2022,859310.8,0,0,859310.8,36302468,0.023670864
p61,TX,ERCTc,raz6,ercot,2022,0,0,0,0,25530916,0
p62,TX,ERCTc,raz6,ercot,2022,397599.9,0,0,397599.9,11775693,0.033764459
p63,TX,ERCTc,raz6,ercot,2022,77927285.3,0,0,77927285.3,145647970,0.535038595
p64,TX,ERCTc,raz6,ercot,2022,21934180.9,0,0,21934180.9,29336838,0.747666838
p65,TX,ERCTc,raz6,ercot,2022,33413864.4,0,0,33413864.4,96295960,0.346991342
p66,TX,SRMVc,raz10,eastern,2022,11400217.8,0,0,11400217.8,21594364,0.527925611
p67,TX,ERCTc,raz6,ercot,2022,26065601.8,0,0,26065601.8,33375914,0.780970427
p68,MN,MROWc,raz7,eastern,2022,705453.3,0,0,705453.3,7553213.5,0.09339777
p69,IA,MROWc,raz9,eastern,2022,737190.5,0,0,737190.5,3782893.5,0.19487477
p7,OR,NWPPc,raz1,wscc,2022,0,0,0,0,1913155,0
p70,IA,MROWc,raz9,eastern,2022,13101578.7,0,0,13101578.7,29270348,0.44760584
p71,MO,SRMWc,raz9,eastern,2022,5259.9,0,0,5259.9,1494025.5,0.003520623
p72,MO,SRMWc,raz9,eastern,2022,46454780.3,0,0,46454780.3,50160748,0.926118173
p73,MO,SRMWc,raz10,eastern,2022,5646.5,0,0,5646.5,395494,0.014277081
p74,MI,MROEc,raz9,eastern,2022,127158,0,0,127158,1329909.5,0.095614025
p75,WI,MROEc,raz9,eastern,2022,4704612.2,0,0,4704612.2,19737100,0.238363904
p76,WI,MROEc,raz9,eastern,2022,8838539,0,0,8838539,10133037,0.872249751
p77,WI,MROWc,raz7,eastern,2022,41.2,0,0,41.2,1152753.9,3.57405E-05
p78,WI,MROEc,raz9,eastern,2022,3251652.7,0,0,3251652.7,6834809,0.475748876
p79,WI,RFCWc,raz9,eastern,2022,23387082,0,0,23387082,26273120,0.890152445
p8,CA,NWPPc,raz1,wscc,2022,8446.7,0,0,8446.7,743853,0.011355335
p80,IL,RFCWc,raz9,eastern,2022,12736699.1,0,0,12736699.1,70157680,0.181543904
p81,IL,SRMWc,raz9,eastern,2022,30175808.1,0,0,30175808.1,47468824,0.635697402
p82,IL,SRMWc,raz9,eastern,2022,5306563.3,0,0,5306563.3,13325554,0.398224592
p83,IL,SRMWc,raz9,eastern,2022,9975974.3,0,0,9975974.3,24528526,0.406709082
p84,MO,SRMWc,raz10,eastern,2022,9270883.3,0,0,9270883.3,8762334,1.058038109
p85,AR,SRMVc,raz10,eastern,2022,29498770,0,0,29498770,52600190,0.560811092
p86,LA,SRMVc,raz10,eastern,2022,2482973.7,0,0,2482973.7,4785700.5,0.51883182
p87,MS,SRMVc,raz10,eastern,2022,13986995.1,0,0,13986995.1,29770278,0.469830853
p88,MS,SRTVc,raz12,eastern,2022,8260591.4,0,0,8260591.4,12519923,0.659795703
p89,AL,SRSOc,raz12,eastern,2022,30493875.8,0,0,30493875.8,63809704,0.477887749
p9,CA,CAMXc,raz2,wscc,2022,16612666.7,0,0,16612666.7,117740420,0.141095698
p90,AL,SRSOc,raz13,eastern,2022,24698915,0,0,24698915,60971680,0.405088313
p91,FL,SRSOc,raz13,eastern,2022,2051261.7,0,0,2051261.7,2428697,0.8445935
p92,TN,SRTVc,raz12,eastern,2022,50463469.4,0,0,50463469.4,101307624,0.498121142
p93,KY,SRTVc,raz12,eastern,2022,10212519.7,0,0,10212519.7,10748744,0.950112841
p94,GA,SRSOc,raz13,eastern,2022,61353478.2,0,0,61353478.2,133922960,0.458125165
p95,SC,SRVCc,raz15,eastern,2022,3605326.1,0,0,3605326.1,48493840,0.074346063
p96,SC,SRVCc,raz15,eastern,2022,29995497.7,0,0,29995497.7,50432828,0.594761367
p97,NC,SRVCc,raz15,eastern,2022,47760973.4,0,0,47760973.4,81028410,0.589434908
p98,NC,SRVCc,raz15,eastern,2022,15752519.6,0,0,15752519.6,58388984,0.269785814
p99,VA,SRVCc,raz16,eastern,2022,23835382.7,0,0,23835382.7,82833010,0.287752222